16/07/2026 09:35:50 | INFO | Iniciando backup automático.
16/07/2026 09:35:50 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
16/07/2026 09:35:50 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
16/07/2026 09:35:50 | INFO | Backup realizado com sucesso.
16/07/2026 09:35:50 | INFO | Arquivo criado: sistema_2026-07-16_09-35-50.db
16/07/2026 09:35:50 | INFO | Tamanho: 104.00 KB
16/07/2026 09:35:50 | INFO | Backups antigos removidos: 0
16/07/2026 09:35:50 | INFO | Tempo de execução: 0.01 segundos
16/07/2026 09:39:07 | INFO | Iniciando backup automático.
16/07/2026 09:39:07 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
16/07/2026 09:39:07 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
16/07/2026 09:39:07 | INFO | Backup realizado com sucesso.
16/07/2026 09:39:07 | INFO | Arquivo criado: sistema_2026-07-16_09-39-07.db
16/07/2026 09:39:07 | INFO | Tamanho: 104.00 KB
16/07/2026 09:39:07 | INFO | Backups antigos removidos: 0
16/07/2026 09:39:07 | INFO | Tempo de execução: 0.01 segundos
16/07/2026 09:56:41 | INFO | Iniciando backup automático.
16/07/2026 09:56:41 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
16/07/2026 09:56:41 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
16/07/2026 09:56:42 | INFO | Backup realizado com sucesso.
16/07/2026 09:56:42 | INFO | Arquivo criado: sistema_2026-07-16_09-56-41.db
16/07/2026 09:56:42 | INFO | Tamanho: 104.00 KB
16/07/2026 09:56:42 | INFO | Backups antigos removidos: 0
16/07/2026 09:56:42 | INFO | Tempo de execução: 0.16 segundos
17/07/2026 08:15:56 | INFO | Iniciando backup automático.
17/07/2026 08:15:56 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
17/07/2026 08:15:56 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
17/07/2026 08:15:56 | INFO | Backup realizado com sucesso.
18/07/2026 17:03:21 | INFO | Iniciando backup automático.
18/07/2026 17:03:21 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
18/07/2026 17:03:21 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
18/07/2026 17:03:22 | INFO | Backup realizado com sucesso.
18/07/2026 17:03:22 | INFO | Arquivo criado: sistema_2026-07-18_17-03-21.db
18/07/2026 17:03:22 | INFO | Tamanho: 184.00 KB
18/07/2026 17:03:22 | INFO | Backups antigos removidos: 0
18/07/2026 17:03:22 | INFO | Tempo de execução: 1.21 segundos
18/07/2026 21:09:47 | INFO | Iniciando backup automático.
18/07/2026 21:09:47 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
18/07/2026 21:09:47 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
18/07/2026 21:09:48 | INFO | Backup realizado com sucesso.
18/07/2026 21:09:48 | INFO | Arquivo criado: sistema_2026-07-18_21-09-48.db
18/07/2026 21:09:48 | INFO | Tamanho: 184.00 KB
18/07/2026 21:09:48 | INFO | Backups antigos removidos: 0
18/07/2026 21:09:48 | INFO | Tempo de execução: 0.60 segundos
20/07/2026 09:04:40 | INFO | Iniciando backup automático.
20/07/2026 09:04:40 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
20/07/2026 09:04:40 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
20/07/2026 09:04:41 | INFO | Backup realizado com sucesso.
20/07/2026 09:04:41 | INFO | Arquivo criado: sistema_2026-07-20_09-04-40.db
20/07/2026 09:04:41 | INFO | Tamanho: 184.00 KB
20/07/2026 09:04:41 | INFO | Backups antigos removidos: 0
20/07/2026 09:04:41 | INFO | Tempo de execução: 1.03 segundos
21/07/2026 15:10:43 | INFO | Iniciando backup automático.
21/07/2026 15:10:43 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
21/07/2026 15:10:43 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
21/07/2026 15:10:43 | INFO | Backup realizado com sucesso.
21/07/2026 15:10:43 | INFO | Arquivo criado: sistema_2026-07-21_15-10-43.db
21/07/2026 15:10:43 | INFO | Tamanho: 252.00 KB
21/07/2026 15:10:43 | INFO | Backups antigos removidos: 0
21/07/2026 15:10:43 | INFO | Tempo de execução: 0.07 segundos
21/07/2026 19:00:02 | INFO | Iniciando backup automático.
21/07/2026 19:00:02 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
21/07/2026 19:00:02 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
21/07/2026 19:00:02 | INFO | Backup realizado com sucesso.
21/07/2026 19:00:02 | INFO | Arquivo criado: sistema_2026-07-21_19-00-02.db
21/07/2026 19:00:02 | INFO | Tamanho: 252.00 KB
21/07/2026 19:00:02 | INFO | Backups antigos removidos: 0
21/07/2026 19:00:02 | INFO | Tempo de execução: 0.08 segundos
23/07/2026 16:19:33 | INFO | Iniciando backup automático.
23/07/2026 16:19:33 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
23/07/2026 16:19:33 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
23/07/2026 16:19:33 | INFO | Backup realizado com sucesso.
23/07/2026 16:19:33 | INFO | Arquivo criado: sistema_2026-07-23_16-19-33.db
23/07/2026 16:19:33 | INFO | Tamanho: 288.00 KB
23/07/2026 16:19:33 | INFO | Backups antigos removidos: 0
23/07/2026 16:19:33 | INFO | Tempo de execução: 0.08 segundos
24/07/2026 02:54:18 | INFO | Iniciando backup automático.
24/07/2026 02:54:18 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
24/07/2026 02:54:18 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
24/07/2026 02:54:20 | INFO | Backup realizado com sucesso.
24/07/2026 02:54:20 | INFO | Arquivo criado: sistema_2026-07-24_02-54-20.db
24/07/2026 02:54:20 | INFO | Tamanho: 288.00 KB
24/07/2026 02:54:20 | INFO | Backups antigos removidos: 0
24/07/2026 02:54:20 | INFO | Tempo de execução: 1.38 segundos
24/07/2026 19:07:12 | INFO | Iniciando backup automático.
24/07/2026 19:07:12 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
24/07/2026 19:07:12 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
24/07/2026 19:07:12 | INFO | Backup realizado com sucesso.
24/07/2026 19:07:12 | INFO | Arquivo criado: sistema_2026-07-24_19-07-12.db
24/07/2026 19:07:12 | INFO | Tamanho: 288.00 KB
24/07/2026 19:07:12 | INFO | Backups antigos removidos: 0
